output,group,returns,role_in_tool,model,model_file,training_compounds,cv_scheme,cv_metric,cv_random,cv_scaffold,decision_threshold,threshold_basis,calibrated_file,positives,rows_before_dedup,duplicate_rows_removed,contradictory_groups_dropped,n_scaffolds,features,hyperparameters,source_table,holdout_auroc_vs_measured_inactives,sensitivity_at_threshold,sensitivity_basis,background_fpr_held_out,n_active_holdout,n_measured_inactive_holdout,reliable_call,mode,deployed
MAO_A,target classifier,probability 0-1,target engagement feeding the disease layer,RandomForestClassifier,models_rf/MAO_A.joblib,3595.0,StratifiedKFold(10) random and GroupKFold(10) on Bemis-Murcko scaffold,AUROC,0.9638,0.899,0.5,fixed 0.5 with class_weight=balanced,models_rf/MAO_A_calibrated.joblib,867.0,3789.0,189.0,5.0,1403.0,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": ""balanced""}",data/endpoints/MAO_A.csv,,,,,,,,,
MAO_B,target classifier,probability 0-1,target engagement feeding the disease layer,RandomForestClassifier,models_rf/MAO_B.joblib,4548.0,StratifiedKFold(10) random and GroupKFold(10) on Bemis-Murcko scaffold,AUROC,0.9638,0.9189,0.5,fixed 0.5 with class_weight=balanced,models_rf/MAO_B_calibrated.joblib,2313.0,4806.0,245.0,13.0,1649.0,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": ""balanced""}",data/endpoints/MAO_B.csv,,,,,,,,,
SERT,potency regression,pChEMBL (-log10 M),target engagement feeding the disease layer,RandomForestRegressor,models_rf/SERT.joblib,4479.0,StratifiedKFold(10) random and GroupKFold(10) on Bemis-Murcko scaffold,R2,0.6897,0.4612,,,,,4924.0,445.0,0.0,1590.0,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": null}",data/endpoints/SERT.csv,,,,,,,,,
A1 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/A1_binder.joblib,1555.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.99,0.9223,held_out_measured_inactives_and_background,,1555.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/A1.csv,0.913,0.849,held_out_actives_by_scaffold,0.0213,388.0,360.0,True,hybrid_decoys_plus_measured_inactives,True
A2A (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/A2A_binder.joblib,3379.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.995,0.8951,held_out_measured_inactives_and_background,,3379.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/A2A.csv,0.943,0.913,held_out_actives_by_scaffold,0.035,722.0,406.0,True,hybrid_decoys_plus_measured_inactives,True
CB1 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/CB1_binder.joblib,2204.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.982,0.203,held_out_measured_inactives_and_background,,2204.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/CB1.csv,0.948,0.962,held_out_actives_by_scaffold,0.0343,476.0,1616.0,True,hybrid_decoys_plus_measured_inactives,True
CGRP (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/CGRP_binder.joblib,454.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,1.0,0.412,held_out_measured_inactives_and_background,,454.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/CGRP.csv,0.985,0.997,held_out_actives_by_scaffold,0.0017,145.0,23.0,True,hybrid_decoys_plus_measured_inactives,True
COX2 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/COX2_binder.joblib,891.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.931,0.7501,held_out_measured_inactives_and_background,,891.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/COX2.csv,0.788,0.638,held_out_actives_by_scaffold,0.007,291.0,770.0,True,hybrid_decoys_plus_measured_inactives,True
CSF1R (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/CSF1R_binder.joblib,1426.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.994,0.5681,held_out_measured_inactives_and_background,,1426.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/CSF1R.csv,0.961,0.967,held_out_actives_by_scaffold,0.0223,358.0,101.0,True,hybrid_decoys_plus_measured_inactives,True
Cav3_2 (binder),binder classifier,"probability 0-1, called against a per-target threshold","WITHDRAWN, not scored",RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/Cav3_2_binder.joblib,265.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.997,0.155,held_out_measured_inactives_and_background,,265.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/Cav3_2.csv,0.971,0.907,held_out_actives_by_scaffold,0.0013,86.0,70.0,False,hybrid_decoys_plus_measured_inactives,False
D2 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/D2_binder.joblib,2916.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.99,0.9375,held_out_measured_inactives_and_background,,2916.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/D2.csv,0.862,0.818,held_out_actives_by_scaffold,0.0463,741.0,572.0,True,hybrid_decoys_plus_measured_inactives,True
D3 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/D3_binder.joblib,3342.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.996,0.976,held_out_measured_inactives_and_background,,3342.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/D3.csv,0.95,0.881,held_out_actives_by_scaffold,0.0497,785.0,216.0,True,hybrid_decoys_plus_measured_inactives,True
DAT (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/DAT_binder.joblib,1079.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.99,0.2143,held_out_measured_inactives_and_background,,1079.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/DAT.csv,0.962,0.966,held_out_actives_by_scaffold,0.0307,258.0,397.0,True,hybrid_decoys_plus_measured_inactives,True
DHODH (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/DHODH_binder.joblib,670.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.99,0.2166,held_out_measured_inactives_and_background,,670.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/DHODH.csv,0.964,0.967,held_out_actives_by_scaffold,0.0007,293.0,329.0,True,hybrid_decoys_plus_measured_inactives,True
GABA_A (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/GABA_A_binder.joblib,159.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.934,0.7896,held_out_measured_inactives_and_background,,159.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/GABA_A.csv,0.835,0.801,held_out_actives_by_scaffold,0.0027,42.0,37.0,True,hybrid_decoys_plus_measured_inactives,True
GBA1 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/GBA1_binder.joblib,86.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.883,0.2005,held_out_measured_inactives_and_background,,86.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/GBA1.csv,0.845,0.875,held_out_actives_by_scaffold,0.0063,34.0,240.0,True,hybrid_decoys_plus_measured_inactives,True
GluA2 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/GluA2_binder.joblib,,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.722,0.6135,held_out_measured_inactives_and_background,,68.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/GluA2.csv,0.61,0.567,held_out_actives_by_scaffold,0.0143,29.0,,False,measured_labels_holdout,True
GluN2B (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/GluN2B_binder.joblib,706.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.994,0.9915,held_out_measured_inactives_and_background,,706.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/GluN2B.csv,0.764,0.722,held_out_actives_by_scaffold,0.006,198.0,34.0,True,hybrid_decoys_plus_measured_inactives,True
H3 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/H3_binder.joblib,2597.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.995,0.8,held_out_measured_inactives_and_background,,2597.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/H3.csv,0.966,0.961,held_out_actives_by_scaffold,0.0337,615.0,192.0,True,hybrid_decoys_plus_measured_inactives,True
HDAC1 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/HDAC1_binder.joblib,2498.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.995,0.7628,held_out_measured_inactives_and_background,,2498.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/HDAC1.csv,0.961,0.951,held_out_actives_by_scaffold,0.037,557.0,810.0,True,hybrid_decoys_plus_measured_inactives,True
HDAC6 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/HDAC6_binder.joblib,3032.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.998,0.848,held_out_measured_inactives_and_background,,3032.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/HDAC6.csv,0.972,0.956,held_out_actives_by_scaffold,0.042,683.0,568.0,True,hybrid_decoys_plus_measured_inactives,True
HT1A (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/HT1A_binder.joblib,3070.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.995,0.956,held_out_measured_inactives_and_background,,3070.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/HT1A.csv,0.936,0.884,held_out_actives_by_scaffold,0.05,633.0,261.0,True,hybrid_decoys_plus_measured_inactives,True
HT2A (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/HT2A_binder.joblib,2970.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.989,0.9396,held_out_measured_inactives_and_background,,2970.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/HT2A.csv,0.93,0.857,held_out_actives_by_scaffold,0.05,847.0,319.0,True,hybrid_decoys_plus_measured_inactives,True
HT6 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/HT6_binder.joblib,2325.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.997,0.7156,held_out_measured_inactives_and_background,,2325.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/HT6.csv,0.959,0.966,held_out_actives_by_scaffold,0.031,416.0,107.0,True,hybrid_decoys_plus_measured_inactives,True
HT7 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/HT7_binder.joblib,1180.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.986,0.747,held_out_measured_inactives_and_background,,1180.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/HT7.csv,0.907,0.913,held_out_actives_by_scaffold,0.047,298.0,150.0,True,hybrid_decoys_plus_measured_inactives,True
KEAP1 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/KEAP1_binder.joblib,105.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.951,0.5529,held_out_measured_inactives_and_background,,105.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/KEAP1.csv,0.904,0.82,held_out_actives_by_scaffold,0.0063,17.0,86.0,True,hybrid_decoys_plus_measured_inactives,True
LRRK2 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/LRRK2_binder.joblib,838.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.996,0.1615,held_out_measured_inactives_and_background,,838.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/LRRK2.csv,0.985,0.989,held_out_actives_by_scaffold,0.0237,335.0,55.0,True,hybrid_decoys_plus_measured_inactives,True
MT1 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/MT1_binder.joblib,520.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.997,0.9523,held_out_measured_inactives_and_background,,520.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/MT1.csv,0.867,0.763,held_out_actives_by_scaffold,0.004,177.0,41.0,True,hybrid_decoys_plus_measured_inactives,True
NET (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/NET_binder.joblib,1296.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.991,0.3281,held_out_measured_inactives_and_background,,1296.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/NET.csv,0.954,0.974,held_out_actives_by_scaffold,0.0323,276.0,257.0,True,hybrid_decoys_plus_measured_inactives,True
NLRP3 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/NLRP3_binder.joblib,183.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.976,0.3858,held_out_measured_inactives_and_background,,183.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/NLRP3.csv,0.872,0.923,held_out_actives_by_scaffold,0.003,39.0,116.0,True,hybrid_decoys_plus_measured_inactives,True
Nav1_1 (binder),binder classifier,"probability 0-1, called against a per-target threshold","WITHDRAWN, not scored",RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/Nav1_1_binder.joblib,,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.933,0.6458,held_out_measured_inactives_and_background,,56.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/Nav1_1.csv,0.918,0.222,held_out_actives_by_scaffold,0.0563,9.0,,False,measured_labels_holdout,False
Nav1_5 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/Nav1_5_binder.joblib,,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.942,0.233,held_out_measured_inactives_and_background,,207.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/Nav1_5.csv,0.921,0.95,held_out_actives_by_scaffold,0.05,35.0,,True,measured_labels_holdout,True
Nav1_6 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/Nav1_6_binder.joblib,185.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.98,0.9735,held_out_measured_inactives_and_background,,185.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/Nav1_6.csv,0.634,0.565,held_out_actives_by_scaffold,0.0013,91.0,52.0,False,hybrid_decoys_plus_measured_inactives,True
Nav1_7 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/Nav1_7_binder.joblib,2264.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.996,0.7573,held_out_measured_inactives_and_background,,2264.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/Nav1_7.csv,0.96,0.941,held_out_actives_by_scaffold,0.0257,480.0,369.0,True,hybrid_decoys_plus_measured_inactives,True
Nav1_8 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/Nav1_8_binder.joblib,221.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.985,0.9735,held_out_measured_inactives_and_background,,221.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/Nav1_8.csv,0.876,0.728,held_out_actives_by_scaffold,0.0,62.0,33.0,True,hybrid_decoys_plus_measured_inactives,True
