DHODH,1,models_rf/DHODH_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",1.78,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.9928,held_out_measured_inactives
GABA_A,1,models_rf/GABA_A_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",0.61,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.2507,measured_inactives_and_background
GBA1,1,models_rf/GBA1_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",0.3,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.4987,measured_inactives_and_background
GSK3B,2,models_rf/GSK3B.joblib | models_rf/GSK3B_calibrated.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate | probability calibration wrapped around the frozen base estimator, so the reported number is a probability and not a forest vote share",17.22,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,,
GluA2,1,models_rf/GluA2_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",0.14,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.7893,measured_inactives_and_background
GluN2B,1,models_rf/GluN2B_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",1.43,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.999,measured_inactives_and_background
H3,1,models_rf/H3_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",5.73,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.8628,measured_inactives_and_background
HDAC1,1,models_rf/HDAC1_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",3.94,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.9541,measured_inactives_and_background
HDAC6,1,models_rf/HDAC6_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",3.84,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.9824,measured_inactives_and_background
HT1A,1,models_rf/HT1A_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",6.7,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.9623,measured_inactives_and_background
HT2A,2,models_rf/HT2A.joblib | models_rf/HT2A_binder.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate | binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",27.9,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestRegressor,0.9826,measured_inactives_and_background
HT6,1,models_rf/HT6_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",4.58,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.9626,measured_inactives_and_background
HT7,1,models_rf/HT7_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",3.16,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.7966,measured_inactives_and_background
KEAP1,1,models_rf/KEAP1_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",0.32,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.7607,measured_inactives_and_background
LRRK2,1,models_rf/LRRK2_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",2.1,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.8723,measured_inactives_and_background
MAO_A,2,models_rf/MAO_A.joblib | models_rf/MAO_A_calibrated.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate | probability calibration wrapped around the frozen base estimator, so the reported number is a probability and not a forest vote share",21.5,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,,
MAO_B,2,models_rf/MAO_B.joblib | models_rf/MAO_B_calibrated.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate | probability calibration wrapped around the frozen base estimator, so the reported number is a probability and not a forest vote share",31.16,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,,
MT1,1,models_rf/MT1_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",1.25,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.9896,measured_inactives_and_background
NET,1,models_rf/NET_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",3.47,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.7083,measured_inactives_and_background
NLRP3,1,models_rf/NLRP3_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",0.6,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.2417,measured_inactives_and_background
Nav1_5,1,models_rf/Nav1_5_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",0.52,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.4278,measured_inactives_and_background
Nav1_6,1,models_rf/Nav1_6_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",0.57,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.9605,held_out_measured_inactives
Nav1_7,1,models_rf/Nav1_7_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",3.33,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.9769,measured_inactives_and_background
Nav1_8,1,models_rf/Nav1_8_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",0.58,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.935,held_out_measured_inactives
OPRK1,1,models_rf/OPRK1_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",4.66,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.937,measured_inactives_and_background
OPRM1,1,models_rf/OPRM1_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",6.32,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.8487,measured_inactives_and_background
OX1,1,models_rf/OX1_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",4.32,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.9835,measured_inactives_and_background
OX2,1,models_rf/OX2_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",5.69,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.999,measured_inactives_and_background
P2X7,1,models_rf/P2X7_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",5.32,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.999,measured_inactives_and_background
PDE10A,1,models_rf/PDE10A_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",5.99,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.9916,measured_inactives_and_background
PDE4B,1,models_rf/PDE4B_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",2.6,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.2117,measured_inactives_and_background
RIPK1,1,models_rf/RIPK1_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",1.99,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.5,random_chemistry_specificity
SERT,2,models_rf/SERT.joblib | models_rf/SERT_binder.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate | binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",21.87,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestRegressor,0.7626,measured_inactives_and_background
SIRT1,1,models_rf/SIRT1_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",0.34,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.65,random_chemistry_specificity
Sigma1,1,models_rf/Sigma1_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",4.52,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.9657,measured_inactives_and_background
TAAR1,1,models_rf/TAAR1_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",0.2,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.9044,measured_inactives_and_background
a3b4nAChR,1,models_rf/a3b4nAChR_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",0.55,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.45,random_chemistry_specificity
a4b2nAChR,1,models_rf/a4b2nAChR_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",1.12,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.9406,held_out_measured_inactives
a7nAChR,1,models_rf/a7nAChR_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",0.93,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.6262,measured_inactives_and_background
antioxidant_DPPH,1,models_rf/antioxidant_DPPH.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate",11.18,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestRegressor,,
caco2_permeability,1,models_rf/adme/caco2_permeability.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate",3.32,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,,
clearance_hepatocyte,1,models_rf/adme/clearance_hepatocyte.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate",3.31,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,,
hERG,2,models_rf/hERG.joblib | models_rf/hERG_calibrated.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate | probability calibration wrapped around the frozen base estimator, so the reported number is a probability and not a forest vote share",50.62,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,,
kpuu,1,models_rf/adme/kpuu.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate",2.14,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,,
lipophilicity,1,models_rf/adme/lipophilicity.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate",13.3,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,,
logbb,1,models_rf/adme/logbb.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate",3.5,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,,
mGluR5,1,models_rf/mGluR5_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",2.16,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.9957,measured_inactives_and_background
mTOR,1,models_rf/mTOR_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",3.72,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.5365,measured_inactives_and_background
pgp_inhibition,1,models_rf/adme/pgp_inhibition.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate",1.92,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,,
pgp_substrate,1,models_rf/adme/pgp_substrate.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate",2.92,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,,
pka_basic,1,models_rf/pka_basic.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate",32.14,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestRegressor,,
plasma_protein_binding,1,models_rf/adme/plasma_protein_binding.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate",6.33,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,,
solubility,1,models_rf/adme/solubility.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate",35.36,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,,
