# WHAT THIS FILE CONTAINS: Per endpoint: how many measurements, how many actives and inactives, how many decoys were generated, how many compounds the model was actually fitted to, and the exact rule that turned a measurement into a label.
# WHAT IT IS USED FOR: Auditing the labelling. The label rule differs by panel and this is where that is stated per endpoint rather than in prose.
# GENERATED FROM: data/endpoints/, models_rf/binder_modes.json, models_rf/endpoint_context.json
endpoint,panel,task,measured_records,measured_actives,measured_inactives,decoys_generated,compounds_the_model_was_fitted_to,how_a_label_was_assigned,measurement_sources,base_rate_of_activity,cross_validation,training_table
CSF1R,Binder classifier,classification,2432,2396,36,5334,7136,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 2,432",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/CSF1R.csv
A2A,Receptor potency regressor,regression,6785,6554,231,0,6785,"no label. The measured pChEMBL value is regressed directly, because these sets are almost entirely active and a binary split would be ill-posed.","ChEMBL 3,124; BindingDB+ChEMBL 2,422; BindingDB 1,239",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/A2A.csv
NET,Binder classifier,classification,3067,2801,266,4583,6288,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 3,067",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/NET.csv
HT2A,Receptor potency regressor,regression,5989,5908,81,0,5989,"no label. The measured pChEMBL value is regressed directly, because these sets are almost entirely active and a binary split would be ill-posed.","ChEMBL 2,853; BindingDB+ChEMBL 2,361; BindingDB 775",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/HT2A.csv
RIPK1,Binder classifier,classification,3068,2349,719,4111,5960,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 3,068",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/RIPK1.csv
HT7,Binder classifier,classification,2556,2441,115,4377,5912,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 2,556",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/HT7.csv
hERG,Core target/property classifier,classification,5875,2428,3447,0,5875,measured dataset label as supplied by the source; see the data source column for which curation it follows,"ChEMBL 5,875",0.41327659574468084,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/hERG.csv
DAT,Binder classifier,classification,2692,2380,312,3855,5348,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 2,692",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/DAT.csv
GSK3B,Core target/property classifier,classification,4958,4617,341,0,4958,measured dataset label as supplied by the source; see the data source column for which curation it follows,"ChEMBL 2,540; BindingDB+ChEMBL 1,506; BindingDB 912",0.9312222670431626,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/GSK3B.csv
mGluR5,Binder classifier,classification,2434,2375,59,3571,4800,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 2,434",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/mGluR5.csv
COX2,Binder classifier,classification,3185,2492,693,3200,4728,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 3,185",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/COX2.csv
LRRK2,Binder classifier,classification,1478,1460,18,3510,4692,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 1,478",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/LRRK2.csv
SERT,Receptor potency regressor,regression,4572,4427,145,0,4572,"no label. The measured pChEMBL value is regressed directly, because these sets are almost entirely active and a binary split would be ill-posed.","ChEMBL 2,610; BindingDB+ChEMBL 1,814; BindingDB 148",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/SERT.csv
PDE4B,Binder classifier,classification,1938,1712,226,3271,4512,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 1,938",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/PDE4B.csv
AChE,Core target/property classifier,classification,4387,3176,1211,0,4387,measured dataset label as supplied by the source; see the data source column for which curation it follows,"ChEMBL 2,924; BindingDB+ChEMBL 1,318; BindingDB 145",0.7239571461135172,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/AChE.csv
DHODH,Binder classifier,classification,1566,1421,145,2817,3852,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 1,566",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/DHODH.csv
MAO_B,Core target/property classifier,classification,3665,2474,1191,0,3665,measured dataset label as supplied by the source; see the data source column for which curation it follows,"ChEMBL 2,511; BindingDB+ChEMBL 941; BindingDB 213",0.6750341064120055,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/MAO_B.csv
GluN2B,Binder classifier,classification,1580,1548,32,2696,3616,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 1,580",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/GluN2B.csv
MT1,Binder classifier,classification,969,939,30,2076,2788,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.",ChEMBL 969,,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/MT1.csv
BChE,Core target/property classifier,classification,2621,1846,775,0,2621,measured dataset label as supplied by the source; see the data source column for which curation it follows,"ChEMBL 1,744; BindingDB+ChEMBL 798; BindingDB 79",0.7043113315528424,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/BChE.csv
CGRP,Binder classifier,classification,787,761,26,1784,2396,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.",ChEMBL 787,,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/CGRP.csv
MAO_A,Core target/property classifier,classification,2228,907,1321,0,2228,measured dataset label as supplied by the source; see the data source column for which curation it follows,"ChEMBL 1,787; BindingDB+ChEMBL 339; BindingDB 102",0.40709156193895873,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/MAO_A.csv
a4b2nAChR,Binder classifier,classification,942,796,146,1355,1904,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.",ChEMBL 942,,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/a4b2nAChR.csv
a7nAChR,Binder classifier,classification,1004,823,181,921,1348,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 1,004",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/a7nAChR.csv
Nav1_8,Binder classifier,classification,540,501,39,830,1132,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.",ChEMBL 540,,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/Nav1_8.csv
Nav1_6,Binder classifier,classification,726,681,45,806,1104,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.",ChEMBL 726,,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/Nav1_6.csv
NLRP3,Binder classifier,classification,487,428,59,637,888,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.",ChEMBL 487,,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/NLRP3.csv
GABA_A,Binder classifier,classification,348,326,22,592,804,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.",ChEMBL 348,,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/GABA_A.csv
a3b4nAChR,Binder classifier,classification,585,398,187,501,792,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.",ChEMBL 585,,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/a3b4nAChR.csv
Nav1_5,Binder classifier,classification,833,242,591,0,537,"measured labels only; the source reports both actives and inactives, so no decoys were generated",ChEMBL 833,,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/Nav1_5.csv
KEAP1,Binder classifier,classification,323,216,107,313,488,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.",ChEMBL 323,,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/KEAP1.csv
GBA1,Binder classifier,classification,554,292,262,229,480,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.",ChEMBL 554,,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/GBA1.csv
SIRT1,Binder classifier,classification,515,162,353,0,338,"measured labels only; the source reports both actives and inactives, so no decoys were generated",ChEMBL 515,,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/SIRT1.csv
TAAR1,Binder classifier,classification,303,238,65,0,270,"measured labels only; the source reports both actives and inactives, so no decoys were generated",ChEMBL 303,,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/TAAR1.csv
GluA2,Binder classifier,classification,183,97,86,0,140,"measured labels only; the source reports both actives and inactives, so no decoys were generated",ChEMBL 183,,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/GluA2.csv
